payer,code,avg_rate,max_rate,min_rate,range_rate,percentile_25,median_rate,percentile_75
Cigna Corporation,70551,567.60,851.41,265.81,585.60,265.8100,585.6000,851.4100
Kaiser Foundation Health Plan,70551,1860.42,1934.00,1325.00,609.00,1856.0000,1856.0000,1934.0000
UnitedHealthcare,70551,633.78,2258.15,302.27,1955.88,302.2700,625.2700,927.5400
Aetna,70553,696.16,2057.95,140.00,1917.95,335.0000,475.0000,1227.7275
Ambetter,70553,190.22,190.22,190.22,0.00,190.2200,190.2200,190.2200
Blue Shield of California,70553,7137.48,7137.48,7137.48,0.00,7137.4800,7137.4800,7137.4800
Cigna Corporation,70553,928.49,1392.74,411.62,981.12,411.6200,981.1200,1392.7400
Kaiser Foundation Health Plan,70553,2799.80,3047.00,2112.00,935.00,2515.0000,3047.0000,3047.0000
UnitedHealthcare,70553,1032.34,3161.35,466.39,2694.96,466.3900,1053.5800,1519.9700
Aetna,71045,34.96,143.09,8.09,135.00,9.7000,17.7900,50.4200
Ambetter,71045,15.27,15.27,15.27,0.00,15.2700,15.2700,15.2700
Blue Shield of California,71045,82.21,82.21,82.21,0.00,82.2100,82.2100,82.2100
Cigna Corporation,71045,48.04,72.06,32.76,39.30,32.7600,39.3000,72.0600
Kaiser Foundation Health Plan,71045,69.32,94.00,50.54,43.46,50.5400,54.6200,94.0000
UnitedHealthcare,71045,70.16,105.69,36.46,69.23,37.2400,68.4500,105.6900
Aetna,71046,47.13,183.47,9.67,173.80,17.9200,27.5900,60.2500
Ambetter,71046,24.05,43.90,18.24,25.66,18.2400,18.2400,18.7400
Blue Shield of California,71046,151.99,151.99,151.99,0.00,151.9900,151.9900,151.9900
Cigna Corporation,71046,74.44,111.66,39.14,72.52,39.1400,72.5300,111.6600
Kaiser Foundation Health Plan,71046,106.11,162.00,66.61,95.39,66.6100,66.6100,162.0000
UnitedHealthcare,71046,90.21,135.51,43.58,91.93,44.5000,91.0100,135.5100
Aetna,71101,70.05,229.81,11.50,218.31,24.1300,35.6300,135.3400
Ambetter,71101,22.43,22.43,22.43,0.00,22.4300,22.4300,22.4300
Blue Shield of California,71101,192.05,192.05,192.05,0.00,192.0500,192.0500,192.0500
Cigna Corporation,71101,88.89,133.34,48.85,84.49,48.8500,84.4900,133.3400
Kaiser Foundation Health Plan,71101,166.57,182.00,155.00,27.00,155.0000,155.0000,182.0000
UnitedHealthcare,71101,113.16,170.59,54.74,115.85,54.7400,114.9900,169.7300
Aetna,71250,343.15,889.94,44.14,845.80,177.6100,221.7500,570.8000
Ambetter,71250,89.73,89.73,89.73,0.00,89.7300,89.7300,89.7300
Blue Shield of California,71250,1694.24,1694.24,1694.24,0.00,1694.2400,1694.2400,1694.2400
Cigna Corporation,71250,444.62,666.94,183.69,483.25,183.6900,483.2500,666.9400
Kaiser Foundation Health Plan,71250,929.85,959.00,387.00,572.00,954.0000,959.0000,959.0000
UnitedHealthcare,71250,443.22,1091.45,211.32,880.13,235.7100,421.5800,657.2900
Aetna,71260,429.35,1106.04,53.68,1052.36,228.9800,282.6600,762.0600
Ambetter,71260,164.59,232.25,96.94,135.31,96.9400,164.5950,232.2500
Blue Shield of California,71260,2028.37,2028.37,2028.37,0.00,2028.3700,2028.3700,2028.3700
Cigna Corporation,71260,565.53,848.30,224.15,624.15,224.1500,624.1500,848.3000
Kaiser Foundation Health Plan,71260,1198.52,1200.00,1193.00,7.00,1197.0000,1200.0000,1200.0000
UnitedHealthcare,71260,550.81,1353.24,254.06,1099.18,254.0600,562.8400,816.9000
Aetna,71271,89.60,134.41,46.10,88.31,46.1000,88.3000,134.4100
Blue Shield of California,71271,780.03,780.03,780.03,0.00,780.0300,780.0300,780.0300
Cigna Corporation,71271,375.62,563.43,191.83,371.60,191.8300,371.6000,563.4300
Kaiser Foundation Health Plan,71271,583.33,622.00,557.00,65.00,557.0000,557.0000,622.0000
UnitedHealthcare,71271,431.43,647.29,212.14,435.15,216.6700,430.6200,647.2900
Aetna,71275,593.76,1526.69,82.98,1443.71,309.9300,392.9000,1025.6600
Ambetter,71275,152.11,153.50,150.72,2.78,150.7200,152.1100,153.5000
Blue Shield of California,71275,3515.86,3515.86,3515.86,0.00,3515.8600,3515.8600,3515.8600
Cigna Corporation,71275,738.59,1107.90,327.48,780.42,327.4800,780.4100,1107.9000
Kaiser Foundation Health Plan,71275,1888.00,1924.00,1840.00,84.00,1840.0000,1924.0000,1924.0000
UnitedHealthcare,71275,841.88,1262.83,370.06,892.77,370.0600,892.7700,1262.8300
Aetna,72040,66.07,213.96,10.04,203.92,25.0600,35.1100,129.3250
Ambetter,72040,36.75,54.64,18.87,35.77,18.8700,36.7550,54.6400
Blue Shield of California,72040,172.51,172.51,172.51,0.00,172.5100,172.5100,172.5100
Cigna Corporation,72040,80.64,120.97,40.47,80.50,40.4700,80.5000,120.9700
Kaiser Foundation Health Plan,72040,137.76,177.00,110.00,67.00,110.0000,110.0000,177.0000
UnitedHealthcare,72040,105.46,168.07,46.01,122.06,46.0100,112.0200,158.0300
Aetna,72050,88.37,284.77,13.62,271.15,34.0900,47.7100,175.4975
Ambetter,72050,49.59,76.11,23.07,53.04,23.0700,49.5900,76.1100
Blue Shield of California,72050,255.97,255.97,255.97,0.00,255.9700,255.9700,255.9700
Cigna Corporation,72050,110.87,166.30,56.56,109.74,56.5600,109.7500,166.3000
Kaiser Foundation Health Plan,72050,197.43,219.00,126.04,92.96,189.0000,189.0000,219.0000
UnitedHealthcare,72050,140.42,228.42,56.20,172.22,56.2000,154.1300,210.3300
Aetna,72070,55.53,177.51,9.73,167.78,21.0200,30.7400,104.9425
Blue Shield of California,72070,186.47,186.47,186.47,0.00,186.4700,186.4700,186.4700
Cigna Corporation,72070,83.30,124.96,40.47,84.49,40.4700,84.4900,124.9600
Kaiser Foundation Health Plan,72070,127.90,159.00,106.00,53.00,109.0000,109.0000,159.0000
UnitedHealthcare,72070,87.58,147.19,41.64,105.55,41.6400,89.4600,131.1000
Aetna,72100,66.76,213.96,10.04,203.92,26.6200,36.6600,129.3250
Ambetter,72100,29.27,55.27,18.87,36.40,18.8700,18.8700,37.0700
Blue Shield of California,72100,192.05,192.05,192.05,0.00,192.0500,192.0500,192.0500
Cigna Corporation,72100,85.96,128.94,40.47,88.47,40.4700,88.4800,128.9400
Kaiser Foundation Health Plan,72100,135.33,178.00,105.00,73.00,105.0000,105.0000,178.0000
UnitedHealthcare,72100,105.55,175.51,46.01,129.50,46.0100,112.0200,158.0300
Aetna,72110,86.60,272.64,13.62,259.02,36.5800,50.2000,168.4200
Ambetter,72110,21.85,21.85,21.85,0.00,21.8500,21.8500,21.8500
Blue Shield of California,72110,261.56,261.56,261.56,0.00,261.5600,261.5600,261.5600
Cigna Corporation,72110,119.73,179.60,56.56,123.04,56.5600,123.0400,179.6000
Kaiser Foundation Health Plan,72110,219.14,272.00,122.12,149.88,192.0000,192.0000,272.0000
UnitedHealthcare,72110,134.69,240.34,53.27,187.07,53.2700,148.1000,201.3700
Aetna,72125,339.49,877.07,44.14,832.93,177.6100,221.7500,601.3500
Ambetter,72125,82.50,82.50,82.50,0.00,82.5000,82.5000,82.5000
Blue Shield of California,72125,1694.24,1694.24,1694.24,0.00,1694.2400,1694.2400,1694.2400
Cigna Corporation,72125,455.03,682.55,192.65,489.90,192.6500,489.9000,682.5500
Kaiser Foundation Health Plan,72125,813.14,952.00,709.00,243.00,709.0000,709.0000,952.0000
UnitedHealthcare,72125,431.86,647.79,203.65,444.14,203.6500,444.1400,647.7900
Aetna,72131,338.33,872.99,44.14,828.85,177.6100,221.7500,597.2700
Ambetter,72131,82.50,82.50,82.50,0.00,82.5000,82.5000,82.5000
Blue Shield of California,72131,1694.24,1694.24,1694.24,0.00,1694.2400,1694.2400,1694.2400
Cigna Corporation,72131,442.94,664.41,179.83,484.58,179.8300,484.5800,664.4100
Kaiser Foundation Health Plan,72131,773.28,931.00,655.00,276.00,655.0000,655.0000,931.0000
UnitedHealthcare,72131,435.04,1092.96,203.65,889.31,203.6500,441.1300,644.7800
Aetna,72141,498.62,1222.20,140.00,1082.20,335.0000,409.2500,728.4625
Ambetter,72141,123.24,123.24,123.24,0.00,123.2400,123.2400,123.2400
Blue Shield of California,72141,3211.65,3211.65,3211.65,0.00,3211.6500,3211.6500,3211.6500
Cigna Corporation,72141,551.27,826.91,266.56,560.35,266.5600,560.3400,826.9100
Kaiser Foundation Health Plan,72141,1319.66,1701.00,1059.00,642.00,1059.0000,1059.0000,1701.0000
UnitedHealthcare,72141,614.91,2033.56,302.27,1731.29,302.2700,600.4300,902.7000
Aetna,72148,499.09,1224.19,140.00,1084.19,335.0000,409.2500,729.9925
Ambetter,72148,123.24,123.24,123.24,0.00,123.2400,123.2400,123.2400
Blue Shield of California,72148,3564.06,3564.06,3564.06,0.00,3564.0600,3564.0600,3564.0600
Cigna Corporation,72148,549.50,824.25,267.89,556.36,267.8900,556.3600,824.2500
Kaiser Foundation Health Plan,72148,1247.66,1682.00,950.00,732.00,950.0000,950.0000,1682.0000
UnitedHealthcare,72148,615.90,2036.08,302.27,1733.81,302.2700,601.9000,904.1700
Aetna,72170,48.42,159.46,7.95,151.51,16.3500,24.3000,95.3550
Ambetter,72170,15.10,15.10,15.10,0.00,15.1000,15.1000,15.1000
Blue Shield of California,72170,147.66,147.66,147.66,0.00,147.6600,147.6600,147.6600
Cigna Corporation,72170,78.21,117.32,31.50,85.82,31.5000,85.8200,117.3200
Kaiser Foundation Health Plan,72170,101.28,145.00,70.00,75.00,70.0000,70.0000,145.0000
UnitedHealthcare,72170,78.50,117.78,35.81,81.97,35.8100,81.9700,117.7800
Aetna,72197,731.42,2207.11,140.00,2067.11,335.0000,475.0000,1353.5375
Ambetter,72197,326.32,470.53,182.11,288.42,182.1100,326.3200,470.5300
Blue Shield of California,72197,7088.41,7088.41,7088.41,0.00,7088.4100,7088.4100,7088.4100
Cigna Corporation,72197,1248.52,1872.79,406.51,1466.28,406.5100,1466.2800,1872.7900
Kaiser Foundation Health Plan,72197,1726.42,2583.00,1084.00,1499.00,1084.0000,1084.0000,2583.0000
UnitedHealthcare,72197,1105.42,3239.69,445.81,2793.88,445.8100,1184.3300,1630.1400
Aetna,73030,56.15,185.82,8.56,177.26,19.1500,27.7100,113.1425
Ambetter,73030,25.16,48.33,15.90,32.43,15.9000,15.9000,32.1150
Blue Shield of California,73030,164.14,164.14,164.14,0.00,164.1400,164.1400,164.1400
Cigna Corporation,73030,71.08,106.62,34.09,72.53,34.0900,72.5300,106.6200
Kaiser Foundation Health Plan,73030,129.71,154.00,113.00,41.00,113.0000,113.0000,154.0000
UnitedHealthcare,73030,91.44,137.25,38.75,98.50,38.7500,98.5000,137.2500
Aetna,73080,54.66,173.69,7.33,166.36,23.5100,30.8300,106.0275
Ambetter,73080,32.01,48.92,15.10,33.82,15.1000,32.0100,48.9200
Blue Shield of California,73080,164.14,164.14,164.14,0.00,164.1400,164.1400,164.1400
Cigna Corporation,73080,76.44,114.66,31.50,83.16,31.5000,83.1600,114.6600
Kaiser Foundation Health Plan,73080,131.76,159.00,112.00,47.00,112.0000,112.0000,159.0000
UnitedHealthcare,73080,85.74,147.60,35.08,112.52,35.8100,92.4700,128.2800
Aetna,73100,55.72,183.94,7.66,176.28,20.0800,27.7400,114.7175
Blue Shield of California,73100,139.29,139.29,139.29,0.00,139.2900,139.2900,139.2900
Cigna Corporation,73100,71.17,106.75,30.24,76.51,30.2400,76.5200,106.7500
Kaiser Foundation Health Plan,73100,109.66,162.00,72.00,90.00,72.0000,72.0000,162.0000
UnitedHealthcare,73100,90.53,135.85,34.38,101.47,34.3800,101.4700,135.8500
Aetna,73110,66.21,218.46,7.64,210.82,25.3800,33.0100,139.6050
Ambetter,73110,28.09,61.59,14.69,46.90,14.6900,14.6900,38.1400
Blue Shield of California,73110,150.46,150.46,150.46,0.00,150.4600,150.4600,150.4600
Cigna Corporation,73110,87.07,130.61,31.50,99.11,31.5000,99.1100,130.6100
Kaiser Foundation Health Plan,73110,151.76,194.00,122.00,72.00,122.0000,122.0000,194.0000
UnitedHealthcare,73110,107.52,161.35,35.81,125.54,35.8100,125.5400,161.3500
Aetna,73130,59.13,196.07,7.33,188.74,21.6400,28.9600,122.8125
Ambetter,73130,26.94,57.57,14.69,42.88,14.6900,14.6900,36.1300
Blue Shield of California,73130,150.46,150.46,150.46,0.00,150.4600,150.4600,150.4600
Cigna Corporation,73130,75.55,113.33,31.50,81.83,31.5000,81.8300,113.3300
Kaiser Foundation Health Plan,73130,134.95,165.00,114.00,51.00,114.0000,114.0000,165.0000
UnitedHealthcare,73130,96.47,144.82,35.08,109.74,35.8100,109.0100,144.8200
Aetna,73140,59.92,200.47,5.84,194.63,22.5700,28.4100,129.9400
Ambetter,73140,25.24,59.06,11.72,47.34,11.7200,11.7200,35.3900
Blue Shield of California,73140,116.96,116.96,116.96,0.00,116.9600,116.9600,116.9600
Cigna Corporation,73140,77.51,116.26,25.13,91.13,25.1300,91.1400,116.2600
Kaiser Foundation Health Plan,73140,134.66,175.00,106.00,69.00,106.0000,106.0000,175.0000
UnitedHealthcare,73140,98.56,148.06,27.96,120.10,28.5500,119.5100,148.0600
Aetna,73221,515.96,1295.58,140.00,1155.58,335.0000,377.7600,807.1075
Ambetter,73221,113.43,113.43,113.43,0.00,113.4300,113.4300,113.4300
Blue Shield of California,73221,3186.49,3186.49,3186.49,0.00,3186.4900,3186.4900,3186.4900
Cigna Corporation,73221,583.75,875.64,245.42,630.22,245.4200,630.2100,875.6400
Kaiser Foundation Health Plan,73221,1239.90,1373.00,1026.00,347.00,1169.0000,1169.0000,1373.0000
UnitedHealthcare,73221,651.50,2128.13,279.01,1849.12,279.0100,677.8800,956.8900
Aetna,73502,76.79,254.65,10.04,244.61,27.5600,37.6000,159.8425
Ambetter,73502,43.70,68.53,18.87,49.66,18.8700,43.7000,68.5300
Blue Shield of California,73502,232.94,232.94,232.94,0.00,232.9400,232.9400,232.9400
Cigna Corporation,73502,101.91,152.87,40.47,112.40,40.4700,112.4000,152.8700
Kaiser Foundation Health Plan,73502,169.00,181.00,160.00,21.00,160.0000,160.0000,181.0000
UnitedHealthcare,73502,125.17,188.08,45.09,142.99,46.0100,142.0700,188.0800
Aetna,73552,58.83,193.98,8.46,185.52,20.9600,29.4300,120.2375
Ambetter,73552,15.27,15.27,15.27,0.00,15.2700,15.2700,15.2700
Blue Shield of California,73552,177.11,177.11,177.11,0.00,177.1100,177.1100,177.1100
Cigna Corporation,73552,79.94,119.91,34.09,85.82,34.0900,85.8200,119.9100
Kaiser Foundation Health Plan,73552,135.47,149.00,126.00,23.00,126.0000,126.0000,149.0000
UnitedHealthcare,73552,95.38,143.27,37.24,106.03,37.2400,106.0300,143.2700
Aetna,73560,56.54,188.02,7.95,180.07,19.4600,27.4100,117.7400
Ambetter,73560,14.48,14.51,14.11,0.40,14.5100,14.5100,14.5100
Blue Shield of California,73560,147.66,147.66,147.66,0.00,147.6600,147.6600,147.6600
Cigna Corporation,73560,75.60,113.40,30.24,83.16,30.2400,83.1600,113.4000
Kaiser Foundation Health Plan,73560,124.28,156.00,102.00,54.00,102.0000,102.0000,156.0000
UnitedHealthcare,73560,92.49,138.87,34.38,104.49,34.3800,104.4900,138.8700
Aetna,73562,66.66,220.39,8.56,211.83,24.4400,33.0000,139.0700
Ambetter,73562,28.41,59.69,15.90,43.79,15.9000,15.9000,37.7950
Blue Shield of California,73562,164.14,164.14,164.14,0.00,164.1400,164.1400,164.1400
Cigna Corporation,73562,87.91,131.87,34.09,97.78,34.0900,97.7800,131.8700
Kaiser Foundation Health Plan,73562,161.38,191.00,141.00,50.00,141.0000,141.0000,191.0000
UnitedHealthcare,73562,108.46,162.78,38.75,124.03,38.7500,124.0300,162.7800
Aetna,73564,75.00,246.54,10.04,236.50,27.8700,37.9100,153.7225
Ambetter,73564,19.50,19.50,19.50,0.00,19.5000,19.5000,19.5000
Blue Shield of California,73564,178.09,178.09,178.09,0.00,178.0900,178.0900,178.0900
Cigna Corporation,73564,97.48,146.22,40.47,105.75,40.4700,105.7600,146.2200
Kaiser Foundation Health Plan,73564,183.66,222.00,157.00,65.00,157.0000,157.0000,222.0000
UnitedHealthcare,73564,121.38,182.09,46.01,136.08,46.0100,136.0800,182.0900
Aetna,73590,51.59,171.75,7.33,164.42,17.5900,24.9200,106.5650
Ambetter,73590,13.47,13.47,13.47,0.00,13.4700,13.4700,13.4700
Blue Shield of California,73590,147.66,147.66,147.66,0.00,147.6600,147.6600,147.6600
Cigna Corporation,73590,70.28,105.43,30.24,75.19,30.2400,75.1900,105.4300
Kaiser Foundation Health Plan,73590,124.14,144.00,111.00,33.00,111.0000,111.0000,144.0000
UnitedHealthcare,73590,84.47,126.85,32.87,93.98,32.8700,93.9800,126.8500
Aetna,73610,59.27,196.07,7.33,188.74,21.9500,29.2800,122.8125
Ambetter,73610,26.10,54.01,14.69,39.32,14.8950,15.1000,34.5550
Blue Shield of California,73610,150.46,150.46,150.46,0.00,150.4600,150.4600,150.4600
Cigna Corporation,73610,77.32,115.99,31.50,84.49,31.5000,84.4900,115.9900
Kaiser Foundation Health Plan,73610,138.04,162.00,121.00,41.00,121.0000,121.0000,162.0000
UnitedHealthcare,73610,96.49,144.82,35.08,109.74,35.8100,109.0100,144.8200
Aetna,73620,47.62,155.49,6.72,148.77,17.9000,24.6200,95.3825
Ambetter,73620,12.84,12.84,12.84,0.00,12.8400,12.8400,12.8400
Blue Shield of California,73620,139.29,139.29,139.29,0.00,139.2900,139.2900,139.2900
Cigna Corporation,73620,63.19,94.79,27.58,67.21,27.5800,67.2100,94.7900
Kaiser Foundation Health Plan,73620,94.02,102.00,66.48,35.52,91.0000,91.0000,102.0000
UnitedHealthcare,73620,76.56,114.84,31.37,83.47,31.3700,83.4700,114.8400
Aetna,73630,56.11,183.89,7.33,176.56,21.3300,28.6500,114.6900
Ambetter,73630,14.06,14.06,14.06,0.00,14.0600,14.0600,14.0600
Blue Shield of California,73630,150.46,150.46,150.46,0.00,150.4600,150.4600,150.4600
Cigna Corporation,73630,71.12,106.69,30.17,76.52,30.1700,76.5200,106.6900
Kaiser Foundation Health Plan,73630,135.09,160.00,118.00,42.00,118.0000,118.0000,160.0000
UnitedHealthcare,73630,90.56,137.18,34.31,102.87,34.3100,101.5100,135.8200
Aetna,73700,338.21,872.99,43.83,829.16,177.6100,221.4500,597.2700
Ambetter,73700,82.50,82.50,82.50,0.00,82.5000,82.5000,82.5000
Blue Shield of California,73700,1418.73,1418.73,1418.73,0.00,1418.7300,1418.7300,1418.7300
Cigna Corporation,73700,442.94,664.41,179.83,484.58,179.8300,484.5800,664.4100
Kaiser Foundation Health Plan,73700,757.57,941.00,628.00,313.00,628.0000,628.0000,929.0000
UnitedHealthcare,73700,434.75,1067.65,203.65,864.00,203.6500,441.1300,644.7800
Aetna,73718,553.93,1456.19,140.00,1316.19,335.0000,371.5400,932.2375
Ambetter,73718,112.16,112.16,112.16,0.00,112.1600,112.1600,112.1600
Blue Shield of California,73718,3186.49,3186.49,3186.49,0.00,3186.4900,3186.4900,3186.4900
Cigna Corporation,73718,901.88,1352.82,242.77,1110.05,242.7700,1110.0500,1352.8200
Kaiser Foundation Health Plan,73718,1406.85,1870.00,1086.00,784.00,1086.0000,1086.0000,1870.0000
UnitedHealthcare,73718,730.21,2214.57,274.41,1940.16,274.4100,801.1100,1075.5200
Aetna,73721,514.97,1291.39,140.00,1151.39,335.0000,373.5800,807.1075
Ambetter,73721,194.71,276.62,112.80,163.82,112.8000,194.7100,276.6200
Blue Shield of California,73721,3186.49,3186.49,3186.49,0.00,3186.4900,3186.4900,3186.4900
Cigna Corporation,73721,582.87,874.31,244.10,630.21,244.1000,630.2100,874.3100
Kaiser Foundation Health Plan,73721,1198.95,1370.00,1090.00,280.00,1090.0000,1090.0000,1370.0000
UnitedHealthcare,73721,649.94,2168.38,275.92,1892.46,275.9200,677.8800,953.8000
Aetna,74018,42.04,163.44,8.09,155.35,16.6000,24.6900,50.4200
Ambetter,74018,15.27,15.27,15.27,0.00,15.2700,15.2700,15.2700
Blue Shield of California,74018,140.82,140.82,140.82,0.00,140.8200,140.8200,140.8200
Cigna Corporation,74018,66.64,99.97,32.76,67.21,32.7600,67.2100,99.9700
Kaiser Foundation Health Plan,74018,117.61,133.00,107.00,26.00,107.0000,107.0000,133.0000
UnitedHealthcare,74018,80.36,120.71,36.47,84.24,37.2400,83.4700,120.7100
Aetna,74019,51.75,201.67,10.31,191.36,19.8900,30.2000,64.2800
Blue Shield of California,74019,168.74,168.74,168.74,0.00,168.7400,168.7400,168.7400
Cigna Corporation,74019,81.48,122.23,41.73,80.50,41.7300,80.5000,122.2300
Kaiser Foundation Health Plan,74019,142.76,167.00,126.00,41.00,126.0000,126.0000,167.0000
UnitedHealthcare,74019,99.30,148.95,47.47,101.48,47.4700,101.4800,148.9500
Aetna,74176,397.40,1121.36,72.87,1048.49,120.6400,193.5100,642.0400
Ambetter,74176,145.93,147.08,144.79,2.29,144.7900,145.9350,147.0800
Blue Shield of California,74176,1081.49,1081.49,1081.49,0.00,1081.4900,1081.4900,1081.4900
Cigna Corporation,74176,491.22,736.84,313.40,423.44,313.4000,423.4400,736.8400
Kaiser Foundation Health Plan,74176,960.28,1024.00,915.00,109.00,915.0000,915.0000,1024.0000
UnitedHealthcare,74176,552.14,828.22,354.03,474.19,354.0300,474.1900,828.2200
Aetna,74177,650.00,1848.18,76.46,1771.72,230.2300,306.6900,1345.1000
Ambetter,74177,151.35,151.35,151.35,0.00,151.3500,151.3500,151.3500
Blue Shield of California,74177,917.62,2064.03,378.27,1685.76,378.2700,937.1800,1315.4800
Cigna Corporation,74177,766.45,1149.68,327.48,822.20,327.4800,822.2000,1149.6800
Kaiser Foundation Health Plan,74177,1571.57,1572.00,1571.00,1.00,1571.0000,1572.0000,1572.0000
UnitedHealthcare,74177,911.22,1468.28,366.04,1102.24,371.5700,993.4700,1365.0400
Aetna,74178,748.90,2078.51,84.53,1993.98,304.3200,388.8500,1526.1700
Ambetter,74178,166.26,166.26,166.26,0.00,166.2600,166.2600,166.2600
Blue Shield of California,74178,2728.36,2728.36,2728.36,0.00,2728.3600,2728.3600,2728.3600
Cigna Corporation,74178,870.27,1305.41,361.51,943.90,361.5100,943.9000,1305.4100
Kaiser Foundation Health Plan,74178,1564.23,1841.00,1361.00,480.00,1361.0000,1361.0000,1841.0000
UnitedHealthcare,74178,1027.21,1861.63,404.70,1456.93,407.9500,1127.2000,1535.1500
Aetna,74183,732.38,2211.19,140.00,2071.19,335.0000,475.0000,1356.5975
Ambetter,74183,182.11,182.11,182.11,0.00,182.1100,182.1100,182.1100
Blue Shield of California,74183,7088.41,7088.41,7088.41,0.00,7088.4100,7088.4100,7088.4100
Cigna Corporation,74183,1251.18,1876.77,406.51,1470.26,406.5100,1470.2700,1876.7700
Kaiser Foundation Health Plan,74183,2969.71,3253.00,2592.00,661.00,2592.0000,3253.0000,3253.0000
UnitedHealthcare,74183,1107.44,3244.17,445.81,2798.36,445.8100,1187.3400,1633.1500
Aetna,76514,20.99,66.11,3.89,62.22,8.2600,12.1500,38.8550
Blue Shield of California,76514,18.01,18.01,18.01,0.00,18.0100,18.0100,18.0100
Cigna Corporation,76514,36.56,54.85,19.36,35.49,19.3600,35.4900,54.8500
Kaiser Foundation Health Plan,76514,50.29,60.00,24.12,35.88,46.0000,46.0000,60.0000
UnitedHealthcare,76514,32.66,58.19,15.84,42.35,15.8400,32.9900,48.8300
Aetna,76536,202.65,656.84,24.07,632.77,83.2800,107.3500,415.0150
Ambetter,76536,47.31,47.31,47.31,0.00,47.3100,47.3100,47.3100
Blue Shield of California,76536,409.22,409.22,409.22,0.00,409.2200,409.2200,409.2200
Cigna Corporation,76536,289.24,433.86,100.81,333.05,100.8100,333.0500,433.8600
Kaiser Foundation Health Plan,76536,418.23,546.00,325.00,221.00,325.0000,325.0000,546.0000
UnitedHealthcare,76536,323.75,513.92,114.65,399.27,114.6500,370.4800,485.1300
Aetna,76641,186.47,604.54,32.67,571.87,66.0300,98.7000,353.1200
Blue Shield of California,76641,556.73,556.73,556.73,0.00,556.7300,556.7300,556.7300
Cigna Corporation,76641,265.04,397.57,130.98,266.59,130.9800,266.5900,397.5700
Kaiser Foundation Health Plan,76641,320.28,406.00,300.00,106.00,300.0000,300.0000,340.0000
UnitedHealthcare,76641,297.65,446.50,146.58,299.92,148.1400,298.3600,446.5000
Aetna,76642,152.30,493.03,30.45,462.58,50.5600,81.0100,276.4175
Ambetter,76642,56.86,56.86,56.86,0.00,56.8600,56.8600,56.8600
Blue Shield of California,76642,425.54,425.54,425.54,0.00,425.5400,425.5400,425.5400
Cigna Corporation,76642,217.42,326.13,122.01,204.12,122.0100,204.1200,326.1300
Kaiser Foundation Health Plan,76642,351.04,431.00,295.00,136.00,295.0000,295.0000,431.0000
UnitedHealthcare,76642,242.78,365.35,136.57,228.78,137.9100,226.2400,364.1500
Aetna,76700,218.07,693.55,34.67,658.88,87.9500,122.6200,407.9275
Ambetter,76700,66.98,66.98,66.98,0.00,66.9800,66.9800,66.9800
Blue Shield of California,76700,566.52,566.52,566.52,0.00,566.5200,566.5200,566.5200
Cigna Corporation,76700,302.79,454.18,145.06,309.12,145.0600,309.1300,454.1800
Kaiser Foundation Health Plan,76700,543.04,705.00,267.94,437.06,458.0000,458.0000,705.0000
UnitedHealthcare,76700,342.62,609.43,165.80,443.63,165.8000,346.4500,512.2500
Aetna,76705,164.22,514.16,25.26,488.90,71.4500,96.7100,305.0675
Ambetter,76705,70.03,114.00,49.06,64.94,56.1700,58.5400,72.4050
Blue Shield of California,76705,409.22,409.22,409.22,0.00,409.2200,409.2200,409.2200
Cigna Corporation,76705,226.18,339.28,105.92,233.36,105.9200,233.3600,339.2800
Kaiser Foundation Health Plan,76705,432.09,543.00,355.00,188.00,355.0000,355.0000,543.0000
UnitedHealthcare,76705,254.13,462.98,118.94,344.04,118.9400,260.8100,379.7500
Aetna,76770,203.86,639.00,31.68,607.32,87.9500,119.6400,378.0400
Ambetter,76770,62.65,62.65,62.65,0.00,62.6500,62.6500,62.6500
Blue Shield of California,76770,566.52,566.52,566.52,0.00,566.5200,566.5200,566.5200
Cigna Corporation,76770,280.06,420.10,132.24,287.86,132.2400,287.8600,420.1000
Kaiser Foundation Health Plan,76770,395.79,647.00,214.48,432.52,214.4800,214.4800,647.0000
UnitedHealthcare,76770,315.87,578.71,149.57,429.14,149.5700,322.3900,471.9600
Aetna,76775,122.41,329.07,25.27,303.80,75.8100,101.0800,167.2600
Blue Shield of California,76775,409.22,409.22,409.22,0.00,409.2200,409.2200,409.2200
Cigna Corporation,76775,142.93,214.41,103.33,111.08,103.3300,111.0700,214.4100
Kaiser Foundation Health Plan,76775,309.85,483.00,182.00,301.00,182.0000,182.0000,483.0000
UnitedHealthcare,76775,162.03,243.05,117.51,125.54,117.5100,125.5400,243.0500
Aetna,76801,214.47,687.90,42.60,645.30,74.8800,117.4700,379.0675
Ambetter,76801,82.55,82.55,82.55,0.00,82.5500,82.5500,82.5500
Blue Shield of California,76801,601.27,601.27,601.27,0.00,601.2700,601.2700,601.2700
Cigna Corporation,76801,304.75,457.13,179.90,277.23,179.9000,277.2200,457.1300
Kaiser Foundation Health Plan,76801,561.38,569.00,553.00,16.00,557.0000,557.0000,569.0000
UnitedHealthcare,76801,339.34,562.39,202.22,360.17,202.2200,305.8500,508.0700
Aetna,76805,244.29,789.68,42.60,747.08,87.9500,130.5500,455.3650
Blue Shield of California,76805,601.27,601.27,601.27,0.00,601.2700,601.2700,601.2700
Cigna Corporation,76805,352.21,528.32,180.65,347.67,180.6500,347.6700,528.3200
